Rank,Club / Country,Club,Country,ELO
914,Kalmar FFSweden,Kalmar FF,Sweden,1361
915,GV San JoseBolivia,GV San Jose,Bolivia,1360
916,Club Atletico TorqueUruguay,Club Atletico Torque,Uruguay,1360
917,CS Marítimo MadeiraPortugal,CS Marítimo Madeira,Portugal,1360
918,LevadiakosGreece,Levadiakos,Greece,1360
919,MOL Fehérvár FCHungary,MOL Fehérvár FC,Hungary,1360
920,BeroeBulgaria,Beroe,Bulgaria,1360
921,Al Fateh FCSaudi Arabia,Al Fateh FC,Saudi Arabia,1360
922,Persija JakartaIndonesia,Persija Jakarta,Indonesia,1360
923,Suwon FCSouth Korea,Suwon FC,South Korea,1360
924,FC Struga Trim-LumMacedonia,FC Struga Trim-Lum,Macedonia,1359
925,Real ValladolidSpain,Real Valladolid,Spain,1359
926,Xanthi FCGreece,Xanthi FC,Greece,1359
927,Nasarawa UnitedNigeria,Nasarawa United,Nigeria,1359
928,CesenaItaly,Cesena,Italy,1359
929,IFK NorrköpingSweden,IFK Norrköping,Sweden,1359
930,Rubio ÑúParaguay,Rubio Ñú,Paraguay,1359
931,MantaEcuador,Manta,Ecuador,1359
932,Eastern SuburbsNew Zealand,Eastern Suburbs,New Zealand,1359
933,Olancho FCHonduras,Olancho FC,Honduras,1359
934,Asteras TripolisGreece,Asteras Tripolis,Greece,1358
935,F.C.V. Dender E.H.Belgium,F.C.V. Dender E.H.,Belgium,1358
936,Huddersfield TownEngland,Huddersfield Town,England,1358
937,QuilmesArgentina,Quilmes,Argentina,1358
938,Bodrum F.K.Turkey,Bodrum F.K.,Turkey,1358
939,Dundalk FCIreland,Dundalk FC,Ireland,1358
940,Consadole SapporoJapan,Consadole Sapporo,Japan,1358
941,Jaguares ChiapasMexico,Jaguares Chiapas,Mexico,1358
942,Wiliete SCAngola,Wiliete SC,Angola,1358
943,Deportivo La Guaira FCVenezuela,Deportivo La Guaira FC,Venezuela,1358
944,FC Nizhny NovgorodRussia,FC Nizhny Novgorod,Russia,1357
945,FC Skonto RigaLatvia,FC Skonto Riga,Latvia,1357
946,OFI CreteGreece,OFI Crete,Greece,1357
947,Atlanta United FCUnited States,Atlanta United FC,United States,1356
948,SlavenCroatia,Slaven,Croatia,1356
949,Bali UnitedIndonesia,Bali United,Indonesia,1356
950,MTK BudapestHungary,MTK Budapest,Hungary,1356
951,Sanga BalendeCongo DR,Sanga BalendeCongo DR,#N/A,1356
952,Gostaresh FooladIran,Gostaresh Foolad,Iran,1356
953,Eastern StarsPapua New Guinea,Eastern Stars,Papua New Guinea,1356
954,TroyesFrance,Troyes,France,1356
955,Kwara UnitedNigeria,Kwara United,Nigeria,1356
956,BelenensesPortugal,Belenenses,Portugal,1356
957,ElazığsporTurkey,Elazığspor,Turkey,1356
958,RKC WaalwijkNetherlands,RKC Waalwijk,Netherlands,1356
959,Smouha SCEgypt,Smouha SC,Egypt,1356
960,FC VizelaPortugal,FC Vizela,Portugal,1355
961,L.A. FirpoEl Salvador,L.A. Firpo,El Salvador,1355
962,MelipillaChile,Melipilla,Chile,1355
963,Liga de LojaEcuador,Liga de Loja,Ecuador,1355
964,Deportiva San CarlosCosta Rica,Deportiva San Carlos,Costa Rica,1355
965,Ngezi Platinum FCZimbabwe,Ngezi Platinum FC,Zimbabwe,1355
966,Naft TehranIran,Naft Tehran,Iran,1354
967,FC DallasUnited States,FC Dallas,United States,1354
968,FC Bravos DO MaquisAngola,FC Bravos DO Maquis,Angola,1354
969,Al ShababUnited Arab Emirates,Al Shabab,United Arab Emirates,1354
970,Churchill Brothers SCIndia,Churchill Brothers SC,India,1354
971,Valmiera FKLatvia,Valmiera FK,Latvia,1354
972,Suwon BluewingsSouth Korea,Suwon Bluewings,South Korea,1354
973,PanthèreCameroon,Panthère,Cameroon,1354
974,Monomatapa UnitedZimbabwe,Monomatapa United,Zimbabwe,1353
975,Port TalbotWales,Port Talbot,Wales,1353
976,BamboutosCameroon,Bamboutos,Cameroon,1353
977,General Caballero JLMParaguay,General Caballero JLM,Paraguay,1353
978,León de HuánucoPeru,León de Huánuco,Peru,1353
979,Dinamo BucureştiRomania,Dinamo Bucureşti,Romania,1352
980,AjaxCongo DR,AjaxCongo DR,#N/A,1352
981,CaracasVenezuela,Caracas,Venezuela,1352
982,Tukoko UniversityPapua New Guinea,Tukoko University,Papua New Guinea,1352
983,Feutcheu FCCameroon,Feutcheu FC,Cameroon,1352
984,MalavanIran,Malavan,Iran,1352
985,Suduva MarijampoleLithuania,Suduva Marijampole,Lithuania,1352
986,Gold Coast UnitedAustralia,Gold Coast United,Australia,1352
987,Supersport UnitedSouth Africa,Supersport United,South Africa,1352
988,ZarzisTunisia,Zarzis,Tunisia,1352
989,Torpedo KutaisiGeorgia,Torpedo Kutaisi,Georgia,1352
990,PSM MakassarIndonesia,PSM Makassar,Indonesia,1351
991,VitesseNetherlands,Vitesse,Netherlands,1351
992,ENPPIEgypt,ENPPI,Egypt,1351
993,Shkupi SkopjeMacedonia,Shkupi Skopje,Macedonia,1351
994,FC Energetik-BGU MinskBelarus,FC Energetik-BGU Minsk,Belarus,1351
995,Mes RafsanjanIran,Mes Rafsanjan,Iran,1351
996,El Tanque SisleyUruguay,El Tanque Sisley,Uruguay,1350
997,C.F. Estrela da AmadoraPortugal,C.F. Estrela da Amadora,Portugal,1350
998,Galway United FCIreland,Galway United FC,Ireland,1350
999,Central EspañolUruguay,Central Español,Uruguay,1350
1000,Uniao da MadeiraPortugal,Uniao da Madeira,Portugal,1350
1001,Shonan BellmareJapan,Shonan Bellmare,Japan,1350
1002,Masvingo UnitedZimbabwe,Masvingo United,Zimbabwe,1350
1003,ChorrilloPanama,Chorrillo,Panama,1350
1004,GiresunsporTurkey,Giresunspor,Turkey,1350
1005,Sportivo LuqueñoParaguay,Sportivo Luqueño,Paraguay,1349
1006,GuastatoyaGuatemala,Guastatoya,Guatemala,1349
1007,MC El EulmaAlgeria,MC El Eulma,Algeria,1349
1008,SO ArméeIvory Coast,SO Armée,Ivory Coast,1349
1009,Benfica LuandaAngola,Benfica Luanda,Angola,1349
1010,Deportivo LaraVenezuela,Deportivo Lara,Venezuela,1349
1011,Al Ahly ShendiSudan,Al Ahly Shendi,Sudan,1349
1012,FC Haka JFinland,FC Haka J,Finland,1349
1013,Shimizu S-PulseJapan,Shimizu S-Pulse,Japan,1348
1014,Al NasrUnited Arab Emirates,Al Nasr,United Arab Emirates,1348
1015,Velež MostarBosnia and Herzegovina,Velež MostarBosnia and,Herzegovina,1348
1016,Bunyodkor TashkentUzbekistan,Bunyodkor Tashkent,Uzbekistan,1348
1017,Roda JC KerkradeNetherlands,Roda JC Kerkrade,Netherlands,1348
1018,Wuhan Three Towns F.C.China PR,Wuhan Three Towns F.C.China PR,#N/A,1348
1019,LNZ CherkasyUkraine,LNZ Cherkasy,Ukraine,1347
1020,Cape Town City FCSouth Africa,Cape Town City FC,South Africa,1347
1021,Śląsk WrocławPoland,Śląsk Wrocław,Poland,1347
1022,ÚjpestHungary,Újpest,Hungary,1347
1023,OlimpoArgentina,Olimpo,Argentina,1347
1024,Niger TornadoesNigeria,Niger Tornadoes,Nigeria,1347
1025,Los Chankas CYCPeru,Los Chankas CYC,Peru,1347
1026,Giwa FCNigeria,Giwa FC,Nigeria,1347
1027,Sol de AméricaParaguay,Sol de América,Paraguay,1346
1028,MFK KarvináCzech Republic,MFK Karviná,Czech Republic,1346
1029,KilmarnockScotland,Kilmarnock,Scotland,1346
1030,Ratchaburi FCThailand,Ratchaburi FC,Thailand,1346
1031,DiósgyörHungary,Diósgyör,Hungary,1346
1032,Drogheda UnitedIreland,Drogheda United,Ireland,1346
1033,EskişehirsporTurkey,Eskişehirspor,Turkey,1346
1034,Montevideo WanderersUruguay,Montevideo Wanderers,Uruguay,1346
1035,Tiko UnitedCameroon,Tiko United,Cameroon,1346
1036,Club de Deportes LimacheChile,Club de Deportes Limache,Chile,1346
1037,Saba QomIran,Saba Qom,Iran,1345
1038,Spartak MyjavaSlovakia,Spartak Myjava,Slovakia,1345
1039,Akhisar BelediyeTurkey,Akhisar Belediye,Turkey,1345
1040,Zalaegerszegi TEHungary,Zalaegerszegi TE,Hungary,1345
1041,SharksNigeria,Sharks,Nigeria,1345
1042,Bnei Yehuda Tel Aviv FCIsrael,Bnei Yehuda Tel Aviv FC,Israel,1345
1043,LlanelliWales,Llanelli,Wales,1345
1044,Paços de FerreiraPortugal,Paços de Ferreira,Portugal,1344
1045,AFC UTA AradRomania,AFC UTA Arad,Romania,1344
1046,Union de TouargaMorocco,Union de Touarga,Morocco,1344
1047,ArlesFrance,Arles,France,1344
1048,Real TomayapoBolivia,Real Tomayapo,Bolivia,1344
1049,FK VitebskBelarus,FK Vitebsk,Belarus,1344
1050,Heart of LionsGhana,Heart of Lions,Ghana,1344
1051,FK AGMKUzbekistan,FK AGMK,Uzbekistan,1344
1052,Katsina UnitedNigeria,Katsina United,Nigeria,1344
1053,Waterford FCIreland,Waterford FC,Ireland,1344
1054,GKS KatowicePoland,GKS Katowice,Poland,1344
1055,FK PanevėžysLithuania,FK Panevėžys,Lithuania,1344
1056,Managua FCNicaragua,Managua FC,Nicaragua,1343
1057,Cardiff Met UniversityWales,Cardiff Met University,Wales,1343
1058,Beira-MarPortugal,Beira-Mar,Portugal,1343
1059,Recreativo da CaálaAngola,Recreativo da Caála,Angola,1343
1060,Sport ÁncashPeru,Sport Áncash,Peru,1343
1061,PanetolikosGreece,Panetolikos,Greece,1343
1062,NacionalPortugal,Nacional,Portugal,1343
1063,CrusadersNorthern Ireland,Crusaders,Northern Ireland,1343
1064,Henan Songshan Longmen F.C.China PR,Henan Songshan Longmen F.C.China PR,#N/A,1343
1065,San Luis FCMexico,San Luis FC,Mexico,1343
1066,Al-Arabi DohaQatar,Al-Arabi Doha,Qatar,1343
1067,RangersChile,Rangers,Chile,1342
1068,AmaZulu FCSouth Africa,AmaZulu FC,South Africa,1342
1069,Kisvárda Master GoodHungary,Kisvárda Master Good,Hungary,1342
1070,Erzurum BBTurkey,Erzurum BB,Turkey,1342
1071,La Luz FCUruguay,La Luz FC,Uruguay,1342
1072,Carabobo FCVenezuela,Carabobo FC,Venezuela,1342
1073,Dorados SinaloaMexico,Dorados Sinaloa,Mexico,1342
1074,New SogerCongo DR,New SogerCongo DR,#N/A,1342
1075,FC EmmenNetherlands,FC Emmen,Netherlands,1342
1076,Llaneros F.C.Colombia,Llaneros F.C.,Colombia,1341
1077,Vysočina JihlavaCzech Republic,Vysočina Jihlava,Czech Republic,1341
1078,Kaizer ChiefsSouth Africa,Kaizer Chiefs,South Africa,1341
1079,Hearts of OakGhana,Hearts of Oak,Ghana,1341
1080,Portmore United FCJamaica,Portmore United FC,Jamaica,1341
1081,Deportivo QuevedoEcuador,Deportivo Quevedo,Ecuador,1341
1082,Qingdao West Coast F.C.China PR,Qingdao West Coast F.C.China PR,#N/A,1341
1083,Nueve de OctubreEcuador,Nueve de Octubre,Ecuador,1341
1084,Jorge WilstermannBolivia,Jorge Wilstermann,Bolivia,1341
1085,Victoria United FCCameroon,Victoria United FC,Cameroon,1341
1086,Korona KielcePoland,Korona Kielce,Poland,1340
1087,Warri Wolves FCNigeria,Warri Wolves FC,Nigeria,1340
1088,Melbourne VictoryAustralia,Melbourne Victory,Australia,1340
1089,Santiago MorningChile,Santiago Morning,Chile,1340
1090,Khazar Lankaran FKAzerbaijan,Khazar Lankaran FK,Azerbaijan,1340
1091,AS MagentaNew Caledonia,AS Magenta,New Caledonia,1340
1092,TondelaPortugal,Tondela,Portugal,1340
1093,ChavesPortugal,Chaves,Portugal,1340
1094,Sloboda UžiceSerbia,Sloboda Užice,Serbia,1340
1095,LivornoItaly,Livorno,Italy,1339
1096,Mordovia SaranskRussia,Mordovia Saransk,Russia,1339
1097,De GraafschapNetherlands,De Graafschap,Netherlands,1339
1098,Chacarita JuniorsArgentina,Chacarita Juniors,Argentina,1339
1099,ZirəAzerbaijan,Zirə,Azerbaijan,1339
1100,JSM BéjaïaAlgeria,JSM Béjaïa,Algeria,1339
1101,ZED FCEgypt,ZED FC,Egypt,1339
1102,FK Mladost LučaniSerbia,FK Mladost Lučani,Serbia,1339
1103,DijonFrance,Dijon,France,1339
1104,Cavaliers FCJamaica,Cavaliers FC,Jamaica,1338
1105,Chapecoense AFBrazil,Chapecoense AF,Brazil,1338
1106,Guaireña FCParaguay,Guaireña FC,Paraguay,1338
1107,AVS Futebol SADPortugal,AVS Futebol SAD,Portugal,1338
1108,Tigres FCColombia,Tigres FC,Colombia,1338
1109,ExcelsiorNetherlands,Excelsior,Netherlands,1338
1110,Mura 05Slovenia,Mura 05,Slovenia,1337
1111,ADC Juan Pablo IIPeru,ADC Juan Pablo II,Peru,1337
1112,Aduana StarsGhana,Aduana Stars,Ghana,1337
1113,ZPC KaribaZimbabwe,ZPC Kariba,Zimbabwe,1337
1114,Medeama SCGhana,Medeama SC,Ghana,1337
1115,Naval 1º de MaioPortugal,Naval 1º de Maio,Portugal,1337
1116,Unión San FelipeChile,Unión San Felipe,Chile,1336
1117,El GeishEgypt,El Geish,Egypt,1336
1118,KhimkiRussia,Khimki,Russia,1336
1119,Western SydneyAustralia,Western Sydney,Australia,1336
1120,Široki BrijegBosnia and Herzegovina,Široki BrijegBosnia and,Herzegovina,1336
1121,Bloemfontein CelticSouth Africa,Bloemfontein Celtic,South Africa,1336
1122,Canterbury UnitedNew Zealand,Canterbury United,New Zealand,1336
1123,USM KhenchelaAlgeria,USM Khenchela,Algeria,1336
1124,San MarcosChile,San Marcos,Chile,1336
1125,Sagan TosuJapan,Sagan Tosu,Japan,1336
1126,SPAL 2013Italy,SPAL 2013,Italy,1336
1127,Lokomotiv TashkentUzbekistan,Lokomotiv Tashkent,Uzbekistan,1335
1128,HonvédHungary,Honvéd,Hungary,1335
1129,PodbrezováSlovakia,Podbrezová,Slovakia,1335
1130,Sud AméricaUruguay,Sud América,Uruguay,1335
1131,Zaria BălțiMoldova,Zaria Bălți,Moldova,1335
1132,Ma PauTrinidad and Tobago,Ma PauTrinidad and,Tobago,1334
1133,CD MagallanesChile,CD Magallanes,Chile,1334
1134,Atheltic Club Port of SpainTrinidad and Tobago,Atheltic Club Port of SpainTrinidad and,Tobago,1334
1135,Petrolul PloieştiRomania,Petrolul Ploieşti,Romania,1334
1136,Kecskeméti TEHungary,Kecskeméti TE,Hungary,1334
1137,Heartland FCNigeria,Heartland FC,Nigeria,1334
1138,River PlateUruguay,River Plate,Uruguay,1334
1139,NC MagraAlgeria,NC Magra,Algeria,1334
1140,Sporting San MiguelitoPanama,Sporting San Miguelito,Panama,1334
1141,Grasshopper Club ZürichSwitzerland,Grasshopper Club Zürich,Switzerland,1334
1142,Etoile MetlaouiTunisia,Etoile Metlaoui,Tunisia,1334
1143,Omiya ArdijaJapan,Omiya Ardija,Japan,1334
1144,PendiksporTurkey,Pendikspor,Turkey,1334
1145,Wikki TouristNigeria,Wikki Tourist,Nigeria,1334
1146,FK SileksMacedonia,FK Sileks,Macedonia,1334
1147,Ittihad TangerMorocco,Ittihad Tanger,Morocco,1334
1148,FC AshdodIsrael,FC Ashdod,Israel,1333
1149,ZavrčSlovenia,Zavrč,Slovenia,1333
1150,Young AfricansTanzania,Young Africans,Tanzania,1333
1151,Deportivo CapiatáParaguay,Deportivo Capiatá,Paraguay,1333
1152,Hilal Al-ObayedSudan,Hilal Al-Obayed,Sudan,1333
1153,Deportivo MixcoGuatemala,Deportivo Mixco,Guatemala,1332
1154,Difaâ El JadidaMorocco,Difaâ El Jadida,Morocco,1332
1155,Stade d'AbidjanIvory Coast,Stade d'Abidjan,Ivory Coast,1332
1156,SionSwitzerland,Sion,Switzerland,1332
1157,KS Warta PoznańPoland,KS Warta Poznań,Poland,1332
1158,Chonburi FCThailand,Chonburi FC,Thailand,1332
1159,Ethnikos AchnasCyprus,Ethnikos Achnas,Cyprus,1332
1160,Radomiak RadomPoland,Radomiak Radom,Poland,1332
1161,CobreloaChile,Cobreloa,Chile,1332
1162,Stal KamianskeUkraine,Stal Kamianske,Ukraine,1331
1163,ZnojmoCzech Republic,Znojmo,Czech Republic,1331
1164,Bengaluru FCIndia,Bengaluru FC,India,1331
1165,KošiceSlovakia,Košice,Slovakia,1331
1166,Bella VistaUruguay,Bella Vista,Uruguay,1331
1167,Veres RivneUkraine,Veres Rivne,Ukraine,1331
1168,Apejes de MfouCameroon,Apejes de Mfou,Cameroon,1331
1169,La EquidadColombia,La Equidad,Colombia,1331
1170,MyPaFinland,MyPa,Finland,1330
1171,Stella ClubIvory Coast,Stella Club,Ivory Coast,1330
1172,Universitario de VintoBolivia,Universitario de Vinto,Bolivia,1330
1173,Sport ColombiaParaguay,Sport Colombia,Paraguay,1330
1174,AnnabaAlgeria,Annaba,Algeria,1330
1175,Pharco FCEgypt,Pharco FC,Egypt,1330
1176,TrenčínSlovakia,Trenčín,Slovakia,1330
1177,East Bengal ClubIndia,East Bengal Club,India,1330
1178,VentspilsLatvia,Ventspils,Latvia,1330
1179,BakıAzerbaijan,Bakı,Azerbaijan,1330
1180,C.A. CerroUruguay,C.A. Cerro,Uruguay,1330
1181,Waterhouse FCJamaica,Waterhouse FC,Jamaica,1330
1182,General CaballeroParaguay,General Caballero,Paraguay,1330
1183,Hassania AgadirMorocco,Hassania Agadir,Morocco,1329
1184,W Connection FCTrinidad and Tobago,W Connection FCTrinidad and,Tobago,1329
1185,Club Atletico ProgresoUruguay,Club Atletico Progreso,Uruguay,1329
1186,FC VoluntariRomania,FC Voluntari,Romania,1329
1187,Sporting San José FCCosta Rica,Sporting San José FC,Costa Rica,1329
1188,MotherwellScotland,Motherwell,Scotland,1329
1189,Ventforet KofuJapan,Ventforet Kofu,Japan,1329
1190,Ben GuerdaneTunisia,Ben Guerdane,Tunisia,1329
1191,BraşovRomania,Braşov,Romania,1329
1192,OlhanensePortugal,Olhanense,Portugal,1329
1193,Inverness CTScotland,Inverness CT,Scotland,1329
1194,DomžaleSlovenia,Domžale,Slovenia,1329
1195,FC Arsenal KievUkraine,FC Arsenal Kiev,Ukraine,1328
1196,Sunshine StarsNigeria,Sunshine Stars,Nigeria,1328
1197,Club River PlateParaguay,Club River Plate,Paraguay,1328
1198,Stade GabésienTunisia,Stade Gabésien,Tunisia,1328
1199,Narva TransEstonia,Narva Trans,Estonia,1328
1200,Austin FCUruguay,Austin FC,Uruguay,1328
1201,Vorskla PoltavaUkraine,Vorskla Poltava,Ukraine,1328
1202,Club Deportivo MaldonadoUruguay,Club Deportivo Maldonado,Uruguay,1328
1203,SevastopolUkraine,Sevastopol,Ukraine,1328
1204,Léopards de DolisiéCongo,Léopards de Dolisié,Congo,1328
1205,RhylWales,Rhyl,Wales,1328
1206,AS FortunaCameroon,AS Fortuna,Cameroon,1328
1207,Highlands ParkSouth Africa,Highlands Park,South Africa,1328
1208,Royal Excel Mouscron PéruwelzBelgium,Royal Excel Mouscron Péruwelz,Belgium,1328
1209,Club PetroleroBolivia,Club Petrolero,Bolivia,1328
1210,Adelaide UnitedAustralia,Adelaide United,Australia,1328
1211,Železničar PančevoSerbia,Železničar Pančevo,Serbia,1328
1212,Academia Puerto CabelloVenezuela,Academia Puerto Cabello,Venezuela,1327
1213,Patriotas BoyacáColombia,Patriotas Boyacá,Colombia,1327
1214,Lamontville Golden ArrowsSouth Africa,Lamontville Golden Arrows,South Africa,1327
1215,Botafogo FCCameroon,Botafogo FC,Cameroon,1327
1216,Uniautónoma FCColombia,Uniautónoma FC,Colombia,1327
1217,StrømsgodsetNorway,Strømsgodset,Norway,1327
1218,Blau-Weiß LinzAustria,Blau-Weiß Linz,Austria,1327
1219,Sligo RoversIreland,Sligo Rovers,Ireland,1326
1220,Deportes IquiqueChile,Deportes Iquique,Chile,1326
1221,Hatayspor KulübüTurkey,Hatayspor Kulübü,Turkey,1326
1222,Sfîntul GheorgheMoldova,Sfîntul Gheorghe,Moldova,1326
1223,FK IMTSerbia,FK IMT,Serbia,1326
1224,Tianjin TianhaiChina PR,Tianjin TianhaiChina PR,#N/A,1326
1225,PanioniosGreece,Panionios,Greece,1326
1226,HNK GoricaCroatia,HNK Gorica,Croatia,1326
1227,Ittihad El-ShortaEgypt,Ittihad El-Shorta,Egypt,1326
1228,CAPS UnitedZimbabwe,CAPS United,Zimbabwe,1325
1229,BotoşaniRomania,Botoşani,Romania,1325
1230,IonikosGreece,Ionikos,Greece,1325
1231,AtlanteMexico,Atlante,Mexico,1325
1232,Chiangrai UnitedThailand,Chiangrai United,Thailand,1325
1233,RoeselareBelgium,Roeselare,Belgium,1325
1234,OrdusporTurkey,Orduspor,Turkey,1325
1235,BalıkesirsporTurkey,Balıkesirspor,Turkey,1325
1236,Motor LublinPoland,Motor Lublin,Poland,1325
1237,Bukola BabesNigeria,Bukola Babes,Nigeria,1325
1238,Odense BoldklubDenmark,Odense Boldklub,Denmark,1325
1239,Kristiansund BKNorway,Kristiansund BK,Norway,1324
1240,Maniema UnionCongo DR,Maniema UnionCongo DR,#N/A,1324
1241,Pars Jonoubi JamIran,Pars Jonoubi Jam,Iran,1324
1242,3 de FebreroParaguay,3 de Febrero,Paraguay,1324
1243,FK GorodeyaBelarus,FK Gorodeya,Belarus,1324
1244,USM El HarrachAlgeria,USM El Harrach,Algeria,1324
1245,Isidro MetapánEl Salvador,Isidro Metapán,El Salvador,1324
1246,Bnei SakhninIsrael,Bnei Sakhnin,Israel,1323
1247,Fovu de BahamCameroon,Fovu de Baham,Cameroon,1323
1248,River Plate EcuadorEcuador,River Plate Ecuador,Ecuador,1323
1249,FC WinterthurSwitzerland,FC Winterthur,Switzerland,1323
1250,CaernarfonWales,Caernarfon,Wales,1323
1251,DečićMontenegro,Dečić,Montenegro,1323
1252,Deportivo Los CaimanesPeru,Deportivo Los Caimanes,Peru,1323
1253,RC ArbaâAlgeria,RC Arbaâ,Algeria,1323
1254,Hajduk KulaSerbia,Hajduk Kula,Serbia,1323
1255,HwangeZimbabwe,Hwange,Zimbabwe,1323
1256,Pécsi MFCHungary,Pécsi MFC,Hungary,1323
1257,Deportivo BinacionalPeru,Deportivo Binacional,Peru,1323
1258,Sport LoretoPeru,Sport Loreto,Peru,1323
1259,Club PueblaMexico,Club Puebla,Mexico,1323
1260,Albirex NiigataJapan,Albirex Niigata,Japan,1323
1261,AD GuanacastecaCosta Rica,AD Guanacasteca,Costa Rica,1323
1262,SimurqAzerbaijan,Simurq,Azerbaijan,1323
1263,Juan AurichPeru,Juan Aurich,Peru,1322
1264,Defensor La BocanaPeru,Defensor La Bocana,Peru,1322
1265,Sportivo San LorenzoParaguay,Sportivo San Lorenzo,Paraguay,1322
1266,Al-Ramtha SCJordan,Al-Ramtha SC,Jordan,1322
1267,ColeraineNorthern Ireland,Coleraine,Northern Ireland,1322
1268,Club Atlético TembetaryParaguay,Club Atlético Tembetary,Paraguay,1322
1269,OFK BeogradSerbia,OFK Beograd,Serbia,1322
1270,Desportivo Da HuílaAngola,Desportivo Da Huíla,Angola,1322
1271,Al-WakraQatar,Al-Wakra,Qatar,1322
1272,Bechem UnitedGhana,Bechem United,Ghana,1322
1273,CD FASEl Salvador,CD FAS,El Salvador,1322
1274,AcadémicaPortugal,Académica,Portugal,1322
1275,Oriente PetroleroBolivia,Oriente Petrolero,Bolivia,1321
1276,Curicó UnidoChile,Curicó Unido,Chile,1321
1277,Lechia GdańskPoland,Lechia Gdańsk,Poland,1321
1278,Spartak Nal'chikRussia,Spartak Nal'chik,Russia,1321
1279,Fagiano OkayamaJapan,Fagiano Okayama,Japan,1321
1280,FC MinskBelarus,FC Minsk,Belarus,1321
1281,Bakaridjan de BarouéliMali,Bakaridjan de Barouéli,Mali,1321
1282,Persebaya SurabayaIndonesia,Persebaya Surabaya,Indonesia,1321
1283,Zagłębie LubinPoland,Zagłębie Lubin,Poland,1321
1284,FK Rotor VolgogradRussia,FK Rotor Volgograd,Russia,1320
1285,Astres FC de DoualaCameroon,Astres FC de Douala,Cameroon,1320
1286,Chicago FireUnited States,Chicago Fire,United States,1320
1287,IF GnistanFinland,IF Gnistan,Finland,1320
1288,Imbabura S.C.Ecuador,Imbabura S.C.,Ecuador,1319
1289,Kayseri ErciyessporTurkey,Kayseri Erciyesspor,Turkey,1319
1290,Almere City FCNetherlands,Almere City FC,Netherlands,1319
1291,Deportes La SerenaChile,Deportes La Serena,Chile,1319
1292,Olympique AkbouAlgeria,Olympique Akbou,Algeria,1319
1293,Metalist KharkivUkraine,Metalist Kharkiv,Ukraine,1319
1294,Saipa FCIran,Saipa FC,Iran,1319
1295,Cumbayá FCEcuador,Cumbayá FC,Ecuador,1319
1296,Yenisey KrasnoyarskRussia,Yenisey Krasnoyarsk,Russia,1319
1297,Universidad César VallejoPeru,Universidad César Vallejo,Peru,1319
1298,AS TandaIvory Coast,AS Tanda,Ivory Coast,1319
1299,Platinum StarsSouth Africa,Platinum Stars,South Africa,1319
1300,Deportivo CarapeguáParaguay,Deportivo Carapeguá,Paraguay,1319
1301,VoždovacSerbia,Voždovac,Serbia,1319
1302,San Antonio Bulo BuloBolivia,San Antonio Bulo Bulo,Bolivia,1318
1303,LeixõesPortugal,Leixões,Portugal,1318
1304,Al-Ittihad AlexandriaEgypt,Al-Ittihad Alexandria,Egypt,1318
1305,Recreativo do LiboloAngola,Recreativo do Libolo,Angola,1318
1306,GençlerbirligiTurkey,Gençlerbirligi,Turkey,1318
1307,Université NgaoundéréCameroon,Université Ngaoundéré,Cameroon,1318
1308,Polokwane CitySouth Africa,Polokwane City,South Africa,1318
1309,Hapoel Tel AvivIsrael,Hapoel Tel Aviv,Israel,1318
1310,Universidad de San CarlosGuatemala,Universidad de San Carlos,Guatemala,1318
1311,ManisasporTurkey,Manisaspor,Turkey,1318
1312,Deportivo SanarateGuatemala,Deportivo Sanarate,Guatemala,1318
1313,CD JaguaresColombia,CD Jaguares,Colombia,1318
1314,KortrijkBelgium,Kortrijk,Belgium,1317
1315,DamashIran,Damash,Iran,1317
1316,Cúcuta DeportivoColombia,Cúcuta Deportivo,Colombia,1317
1317,Manica DiamondsZimbabwe,Manica Diamonds,Zimbabwe,1317
1318,Altay S.K.Turkey,Altay S.K.,Turkey,1317
1319,Sandefjord FootballNorway,Sandefjord Football,Norway,1317
1320,Haverfordwest CountyWales,Haverfordwest County,Wales,1316
1321,Bayamón FCPuerto Rico,Bayamón FC,Puerto Rico,1316
1322,Sport BoysPeru,Sport Boys,Peru,1316
1323,FK TosnoRussia,FK Tosno,Russia,1316
1324,US BiskraAlgeria,US Biskra,Algeria,1316
1325,GrödigAustria,Grödig,Austria,1316
1326,BalmazújvárosHungary,Balmazújváros,Hungary,1316
1327,BoavistaPortugal,Boavista,Portugal,1316
1328,Fauve Azur Elite FCCameroon,Fauve Azur Elite FC,Cameroon,1316
1329,DRB TadjenanetAlgeria,DRB Tadjenanet,Algeria,1316
1330,FC GoaIndia,FC Goa,India,1316
1331,Don Bosco SCCongo DR,Don Bosco SCCongo DR,#N/A,1316
1332,Volos New Football ClubGreece,Volos New Football Club,Greece,1316
1333,NAC BredaNetherlands,NAC Breda,Netherlands,1316
1334,Widzew ŁódzPoland,Widzew Łódz,Poland,1316
1335,CD Génesis de ComayaguaHonduras,CD Génesis de Comayagua,Honduras,1316
1336,TacuarembóUruguay,Tacuarembó,Uruguay,1316
1337,Horoya ACGuinea,Horoya AC,Guinea,1315
1338,AC Ajaccio (FRA)France,AC Ajaccio (FRA),France,1315
1339,ASGNNNiger,ASGNN,Niger,1315
1340,Vardar SkopjeMacedonia,Vardar Skopje,Macedonia,1315
1341,Damac FCSaudi Arabia,Damac FC,Saudi Arabia,1315
1342,ŠKF SereďSlovakia,ŠKF Sereď,Slovakia,1315
